Hour;Temperature °C
1;4
2;4.1243
3;5.1123
4;6.0777
5;6.7061
6;7.1238
7;7.4012
8;7.3543
9;6.8202
10;6.0761
11;5.288
12;5.2
13;5.2
14;5.0989
15;4.6675
16;4.1494
17;3.6294
18;3.2499
19;2.933
20;2.6753
21;2.5223
22;2.411
23;2.3302
24;2.2969
25;2.2
26;2.2
27;2.1766
28;2.1407
29;2.0999
30;2.0741
31;2.0407
32;1.9999
33;1.9741
34;1.9407
35;1.9
36;1.9
37;1.9
38;1.8475
39;1.633
40;1.333
41;1.0651
42;0.90962
43;0.75415
44;0.62829
45;0.60615
46;0.6
47;0.63209
48;0.77662
49;1.2312
50;1.0766
51;0.92192
52;0.65545
53;0.5253
54;0.66929
55;0.86324
56;1.0572
57;0.95289
58;0.79595
59;0.65109
60;1.045
61;1.534
62;2.0013
63;1.7749
64;1.4143
65;1.0585
66;1
67;1
68;1
69;1
70;1.0049
71;1.0194
72;1.3251
73;1.667
74;2.0189
75;1.466
76;0.85648
77;0.25453
78;-0.256
79;-0.656
80;-1.0274
81;-1.3944
82;-1.7586
83;-2.0656
84;-2.3425
85;-2.5905
86;-2.8926
87;-3.4351
88;-4.1181
89;-4.6403
90;-5.088
91;-5.4547
92;-5.7045
93;-5.91
94;-6.0767
95;-6.1578
96;-6.2213
97;-6.2892
98;-6.296
99;-6.3895
100;-6.489
101;-6.5076
102;-6.4135
103;-6.2833
104;-6.0949
105;-5.8302
106;-5.5943
107;-5.3059
108;-4.9412
109;-4.4735
110;-4.1841
111;-4.376
112;-4.8211
113;-5.2304
114;-5.5607
115;-5.8082
116;-5.8409
117;-5.526
118;-4.9072
119;-4.2665
120;-3.668
121;-3.155
122;-2.5934
123;-1.7682
124;-0.93043
125;-0.13186
126;0.16733
127;0.43557
128;0.64935
129;0.5222
130;0.37957
131;0.23897
132;0.23279
133;0.25757
134;0.28303
135;8.92E-02
136;-0.13557
137;-0.40081
138;-0.8613
139;-1.345
140;-1.7672
141;-1.3788
142;-0.89743
143;-0.41759
144;-0.63239
145;-0.956
146;-1.311
147;-1.211
148;-1.111
149;-0.99959
150;-0.74518
151;-0.49078
152;-0.27347
153;-0.52098
154;-0.82478
155;-1.1006
156;-0.50213
157;0.18078
158;0.87112
159;0.86921
160;0.811
161;0.72553
162;0.82208
163;0.94678
164;1.089
165;1.189
166;1.289
167;1.376
168;1.3006
169;1.211
170;1.1063
171;1.0794
172;1.0421
173;0.98225
174;0.71767
175;0.433
176;0.15075
177;0.11533
178;0.1
179;0.1
180;0.1
181;0.1
182;6.60E-02
183;-0.44169
184;-0.97611
185;-1.5163
186;-1.8517
187;-2.167
188;-2.4715
189;-2.8381
190;-3.1981
191;-3.5605
192;-4.0271
193;-4.456
194;-4.9736
195;-5.2461
196;-5.509
197;-5.7563
198;-5.879
199;-5.989
200;-6.0823
201;-6.0717
202;-6.042
203;-5.985
204;-5.733
205;-5.433
206;-5.1678
207;-5.278
208;-5.478
209;-5.7746
210;-6.145
211;-6.645
212;-7.1772
213;-7.7204
214;-8.2538
215;-8.8662
216;-9.5383
217;-10.313
218;-11.06
219;-11.388
220;-11.725
221;-12.068
222;-12.391
223;-12.725
224;-13.056
225;-13.156
226;-13.231
227;-13.242
228;-12.474
229;-11.662
230;-10.98
231;-10.772
232;-10.822
233;-10.881
234;-10.455
235;-9.955
236;-9.455
237;-8.9248
238;-8.39
239;-7.8552
240;-7.1468
241;-6.388
242;-5.659
243;-5.0872
244;-4.5242
245;-3.9579
246;-3.202
247;-2.4462
248;-1.7054
249;-1.2396
250;-0.78584
251;-0.35791
252;-0.22551
253;-0.111
254;1.74E-03
255;0.34681
256;0.69784
257;1.0433
258;1.1982
259;1.3472
260;1.4797
261;1.4013
262;1.311
263;1.2122
264;1.1347
265;1.1
266;1
267;1
268;1
269;1.012
270;1.3051
271;1.6254
272;1.968
273;2.2912
274;2.6254
275;2.9597
276;3.0798
277;3.189
278;3.2826
279;3.226
280;3.1694
281;3.111
282;3.011
283;2.911
284;2.794
285;2.8695
286;2.9316
287;2.9538
288;2.6893
289;2.344
290;1.9969
291;2.0672
292;2.1305
293;2.1797
294;2.0085
295;1.822
296;1.629
297;1.6335
298;1.6585
299;1.7023
300;1.769
301;1.8305
302;1.8703
303;1.4281
304;0.955
305;0.4
306;0.4
307;0.42004
308;0.51266
309;1.1442
310;1.964
311;2.6932
312;2.9
313;2.9
314;2.906
315;2.989
316;3.089
317;3.134
318;2.8907
319;2.5761
320;2.2486
321;2.0459
322;1.8789
323;1.7589
324;1.7894
325;1.889
326;1.909
327;1.6617
328;1.3124
329;0.91386
330;0.45371
331;-0.11295
332;-0.52442
333;-0.78771
334;-0.82105
335;-0.87026
336;-0.9
337;-0.9
338;-0.9
339;-0.72154
340;-0.46261
341;-0.32614
342;-0.39258
343;-0.63739
344;-0.82593
345;-0.89271
346;-0.95939
347;-1.0781
